timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742667050201127023,1742667050,191673801,imu_link,5.3125,32.125,-27.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050219399986,1742667050,210992727,imu_link,5.3125,32.125,-27.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050243778745,1742667050,231034449,imu_link,7.0,33.0,-25.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050253449857,1742667050,250782153,imu_link,7.0,33.0,-25.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050292684505,1742667050,270797190,imu_link,7.125,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050297839894,1742667050,293722208,imu_link,7.125,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050322552912,1742667050,310828616,imu_link,7.125,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050343538282,1742667050,330830597,imu_link,5.9375,33.25,-24.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050362201838,1742667050,350764819,imu_link,5.9375,33.25,-24.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050373768208,1742667050,370979745,imu_link,5.9375,33.25,-24.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050393095190,1742667050,390731745,imu_link,7.1875,31.75,-27.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050422526245,1742667050,411225560,imu_link,7.1875,31.75,-27.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050443380338,1742667050,430997505,imu_link,7.125,32.8125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050462098856,1742667050,450787208,imu_link,7.125,32.8125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050473107782,1742667050,470770468,imu_link,7.125,32.8125,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050511958616,1742667050,490830153,imu_link,7.0,33.5,-27.4375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050516826153,1742667050,513068523,imu_link,7.0,33.5,-27.4375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050546193708,1742667050,530833542,imu_link,4.625,32.6875,-25.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050557939171,1742667050,550918708,imu_link,4.625,32.6875,-25.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050588741338,1742667050,570774579,imu_link,6.0625,33.0625,-26.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050593022486,1742667050,590718116,imu_link,6.0625,33.0625,-26.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050622517467,1742667050,610777579,imu_link,6.0625,33.0625,-26.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050644716579,1742667050,630818690,imu_link,5.6875,33.0,-24.6875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050653059023,1742667050,650728579,imu_link,5.6875,33.0,-24.6875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050688305634,1742667050,670800134,imu_link,7.8125,33.375,-28.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050693269745,1742667050,690754319,imu_link,7.8125,33.375,-28.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050722202449,1742667050,710799338,imu_link,7.8125,33.375,-28.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050743569467,1742667050,730897486,imu_link,5.9375,32.125,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050756850282,1742667050,750769949,imu_link,5.9375,32.125,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050788056708,1742667050,770837097,imu_link,5.0625,33.0625,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742667050798516449,1742667050,790739041,imu_link,5.0625,33.0625,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
