timestamp,layout.data_offset,data
1742667050175257653,0,"array('i', [8000, 13605])"
1742667050223793838,0,"array('i', [8000, 13605])"
1742667050273808634,0,"array('i', [8000, 13605])"
1742667050323955560,0,"array('i', [8000, 13605])"
1742667050373847856,0,"array('i', [8000, 13605])"
1742667050423736264,0,"array('i', [8000, 13605])"
1742667050473706319,0,"array('i', [8000, 13605])"
1742667050523714227,0,"array('i', [8000, 13605])"
1742667050573694208,0,"array('i', [8000, 13605])"
1742667050623769727,0,"array('i', [8000, 13605])"
1742667050673776801,0,"array('i', [8000, 13605])"
1742667050714101875,0,"array('i', [8000, 13605])"
1742667050764104967,0,"array('i', [8000, 13605])"
1742667050813689338,0,"array('i', [8000, 13605])"
1742667050863738949,0,"array('i', [8000, 13605])"
1742667050913750467,0,"array('i', [8000, 13605])"
1742667050963711264,0,"array('i', [8000, 13605])"
1742667051013899486,0,"array('i', [8000, 13605])"
1742667051063703838,0,"array('i', [8000, 13605])"
1742667051113693356,0,"array('i', [8000, 13605])"
1742667051163754189,0,"array('i', [8000, 13605])"
1742667051213699893,0,"array('i', [8000, 13605])"
1742667051263909689,0,"array('i', [8000, 13605])"
1742667051313727671,0,"array('i', [8000, 13605])"
1742667051363691745,0,"array('i', [8000, 13605])"
1742667051414343874,0,"array('i', [8000, 13605])"
1742667051463731337,0,"array('i', [8000, 13605])"
1742667051513901837,0,"array('i', [8000, 13605])"
1742667051563817689,0,"array('i', [8000, 13605])"
1742667051613679911,0,"array('i', [8000, 13605])"
1742667051653707856,0,"array('i', [8000, 13605])"
1742667051703761152,0,"array('i', [8000, 13605])"
1742667051753748874,0,"array('i', [8000, 13605])"
1742667051803787948,0,"array('i', [8000, 13605])"
1742667051853699411,0,"array('i', [8000, 13605])"
1742667051903681022,0,"array('i', [8000, 13605])"
1742667051953752633,0,"array('i', [8000, 13605])"
1742667052003751856,0,"array('i', [8000, 13605])"
1742667052053772133,0,"array('i', [8000, 13605])"
1742667052103689855,0,"array('i', [8000, 13605])"
1742667052153679967,0,"array('i', [8000, 13605])"
1742667052203700596,0,"array('i', [8000, 13605])"
1742667052253682911,0,"array('i', [8000, 13605])"
1742667052303801022,0,"array('i', [8000, 13605])"
1742667052353717059,0,"array('i', [8000, 13605])"
1742667052403677244,0,"array('i', [8000, 13605])"
1742667052453762466,0,"array('i', [8000, 13605])"
1742667052503737059,0,"array('i', [8000, 13605])"
1742667052553781855,0,"array('i', [8000, 13605])"
1742667052603761948,0,"array('i', [8000, 13605])"
1742667052643791281,0,"array('i', [8000, 13605])"
1742667052693796448,0,"array('i', [8000, 13605])"
1742667052743771355,0,"array('i', [8000, 13605])"
1742667052793906114,0,"array('i', [7977, 13628])"
1742667052843941522,0,"array('i', [7670, 13972])"
1742667052893741503,0,"array('i', [7335, 14390])"
1742667052943979799,0,"array('i', [7024, 14826])"
1742667052993721096,0,"array('i', [6729, 15283])"
1742667053043875651,0,"array('i', [6442, 15763])"
1742667053093819725,0,"array('i', [6164, 16259])"
1742667053143885392,0,"array('i', [5892, 16763])"
1742667053194062892,0,"array('i', [5626, 17274])"
1742667053243702484,0,"array('i', [5362, 17787])"
1742667053293735947,0,"array('i', [5100, 18303])"
1742667053343778558,0,"array('i', [4839, 18819])"
1742667053393780707,0,"array('i', [4579, 19332])"
1742667053444092818,0,"array('i', [4318, 19841])"
1742667053493855521,0,"array('i', [4056, 20347])"
1742667053543946151,0,"array('i', [3792, 20853])"
1742667053593848780,0,"array('i', [3527, 21361])"
1742667053633842780,0,"array('i', [3259, 21869])"
1742667053683857836,0,"array('i', [2989, 22376])"
1742667053733785688,0,"array('i', [2718, 22879])"
