timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742666894976893745,1742666894,973386801,imu_link,5.1875,32.625,-26.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895000691616,1742666894,991548894,imu_link,5.1875,32.625,-26.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895026016319,1742666895,11090116,imu_link,4.3125,32.8125,-24.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895039103671,1742666895,31050523,imu_link,4.3125,32.8125,-24.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895068664375,1742666895,51048708,imu_link,5.6875,31.9375,-27.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895078771727,1742666895,71008745,imu_link,5.6875,31.9375,-27.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895099754523,1742666895,91020079,imu_link,5.6875,31.9375,-27.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895124818671,1742666895,111089171,imu_link,6.5,33.5,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895133965819,1742666895,131228856,imu_link,6.5,33.5,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895173028930,1742666895,151017875,imu_link,7.0625,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895177641208,1742666895,174034208,imu_link,7.0625,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895202528245,1742666895,191013153,imu_link,7.0625,32.5625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895223712930,1742666895,211052467,imu_link,6.5,32.9375,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895242753505,1742666895,231053023,imu_link,6.5,32.9375,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895253621930,1742666895,251036282,imu_link,6.5,32.9375,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895288705616,1742666895,271072004,imu_link,5.3125,32.4375,-27.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895293420301,1742666895,290965579,imu_link,5.3125,32.4375,-27.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895323490782,1742666895,311131708,imu_link,6.3125,31.875,-27.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895342371856,1742666895,331085727,imu_link,6.3125,31.875,-27.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895353471041,1742666895,351051893,imu_link,6.3125,31.875,-27.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895392713578,1742666895,370964893,imu_link,6.3125,31.875,-27.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895397769282,1742666895,393712801,imu_link,6.3125,31.875,-27.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742666895429129375,1742666895,411005004,imu_link,5.75,32.8125,-25.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
