timestamp,layout.data_offset,data
1742666894977262690,0,"array('i', [42162, 46134])"
1742666895026509264,0,"array('i', [42162, 46134])"
1742666895076207893,0,"array('i', [42162, 46134])"
1742666895126154931,0,"array('i', [42162, 46134])"
1742666895176161690,0,"array('i', [42162, 46134])"
1742666895226103467,0,"array('i', [42162, 46134])"
1742666895276318338,0,"array('i', [42162, 46134])"
1742666895326117486,0,"array('i', [42162, 46134])"
1742666895376486319,0,"array('i', [42162, 46134])"
1742666895426162208,0,"array('i', [42162, 46134])"
1742666895476130171,0,"array('i', [42162, 46134])"
1742666895526240393,0,"array('i', [42162, 46134])"
1742666895576212208,0,"array('i', [42162, 46134])"
1742666895626220412,0,"array('i', [42162, 46134])"
1742666895666359967,0,"array('i', [42162, 46134])"
1742666895716144301,0,"array('i', [42162, 46134])"
1742666895766691523,0,"array('i', [42162, 46134])"
1742666895816145245,0,"array('i', [42162, 46134])"
1742666895866090504,0,"array('i', [42162, 46134])"
1742666895916369004,0,"array('i', [42162, 46134])"
1742666895966116208,0,"array('i', [42162, 46134])"
1742666896016771004,0,"array('i', [42162, 46134])"
1742666896066250152,0,"array('i', [42162, 46134])"
1742666896116152745,0,"array('i', [42162, 46134])"
1742666896166759448,0,"array('i', [42162, 46134])"
1742666896216179152,0,"array('i', [42162, 46134])"
1742666896266129948,0,"array('i', [42162, 46134])"
1742666896316198948,0,"array('i', [42162, 46134])"
1742666896366128041,0,"array('i', [42162, 46134])"
1742666896416394615,0,"array('i', [42162, 46134])"
1742666896466214948,0,"array('i', [42162, 46134])"
1742666896516275189,0,"array('i', [42162, 46134])"
1742666896556480467,0,"array('i', [42162, 46134])"
1742666896606228004,0,"array('i', [42162, 46134])"
1742666896656152837,0,"array('i', [42162, 46134])"
1742666896706511504,0,"array('i', [42162, 46134])"
1742666896756126559,0,"array('i', [42162, 46134])"
1742666896806092652,0,"array('i', [42162, 46134])"
1742666896856129855,0,"array('i', [42162, 46134])"
1742666896906138744,0,"array('i', [42162, 46134])"
1742666896956168985,0,"array('i', [42162, 46134])"
1742666897006093744,0,"array('i', [42162, 46134])"
1742666897056097818,0,"array('i', [42162, 46134])"
1742666897106111485,0,"array('i', [42162, 46134])"
1742666897156083614,0,"array('i', [42162, 46134])"
1742666897206133874,0,"array('i', [42162, 46134])"
1742666897256097577,0,"array('i', [42162, 46134])"
1742666897306156614,0,"array('i', [42162, 46134])"
1742666897356222948,0,"array('i', [42162, 46135])"
1742666897406174133,0,"array('i', [42080, 46221])"
1742666897456286855,0,"array('i', [41812, 46501])"
1742666897496161096,0,"array('i', [41454, 46880])"
1742666897546222059,0,"array('i', [41097, 47268])"
1742666897596378911,0,"array('i', [40747, 47663])"
1742666897646150688,0,"array('i', [40401, 48074])"
1742666897696133818,0,"array('i', [40058, 48498])"
1742666897746095355,0,"array('i', [39718, 48927])"
1742666897796148855,0,"array('i', [39382, 49363])"
1742666897846267447,0,"array('i', [39052, 49802])"
1742666897896120373,0,"array('i', [38725, 50246])"
1742666897946142503,0,"array('i', [38403, 50693])"
1742666897996181947,0,"array('i', [38084, 51142])"
1742666898046153855,0,"array('i', [37769, 51591])"
1742666898096727651,0,"array('i', [37457, 52042])"
1742666898146216836,0,"array('i', [37148, 52497])"
1742666898196490706,0,"array('i', [36842, 52957])"
1742666898246574040,0,"array('i', [36539, 53422])"
1742666898296158336,0,"array('i', [36238, 53891])"
1742666898346624725,0,"array('i', [35939, 54363])"
1742666898396213447,0,"array('i', [35642, 54836])"
1742666898436143095,0,"array('i', [35348, 55309])"
1742666898486241151,0,"array('i', [35054, 55784])"
1742666898536180410,0,"array('i', [34763, 56259])"
1742666898586090225,0,"array('i', [34472, 56736])"
1742666898636295151,0,"array('i', [34183, 57215])"
1742666898686231725,0,"array('i', [33895, 57697])"
1742666898736276632,0,"array('i', [33608, 58181])"
1742666898786195317,0,"array('i', [33322, 58666])"
1742666898836156373,0,"array('i', [33037, 59152])"
1742666898886267243,0,"array('i', [32753, 59638])"
1742666898936200947,0,"array('i', [32469, 60124])"
1742666898986215928,0,"array('i', [32186, 60610])"
1742666899036254465,0,"array('i', [31903, 61096])"
1742666899086212947,0,"array('i', [31621, 61582])"
1742666899136314873,0,"array('i', [31337, 62070])"
1742666899186143447,0,"array('i', [31054, 62559])"
1742666899236205317,0,"array('i', [30771, 63047])"
1742666899286183132,0,"array('i', [30488, 63534])"
1742666899336170187,0,"array('i', [30204, 64021])"
1742666899376256132,0,"array('i', [29919, 64507])"
1742666899426230946,0,"array('i', [29634, 64992])"
1742666899476211687,0,"array('i', [29348, 65477])"
1742666899526335132,0,"array('i', [29061, 427])"
1742666899576982372,0,"array('i', [28772, 911])"
1742666899626208094,0,"array('i', [28483, 1393])"
1742666899676269946,0,"array('i', [28193, 1873])"
1742666899726226928,0,"array('i', [27903, 2352])"
1742666899776787372,0,"array('i', [27612, 2830])"
1742666899826300020,0,"array('i', [27319, 3308])"
1742666899876146946,0,"array('i', [27025, 3785])"
1742666899926230909,0,"array('i', [26729, 4260])"
1742666899976179279,0,"array('i', [26433, 4735])"
1742666900026256279,0,"array('i', [26135, 5209])"
1742666900076191113,0,"array('i', [25836, 5681])"
1742666900126157928,0,"array('i', [25536, 6152])"
1742666900176314224,0,"array('i', [25234, 6622])"
1742666900226104853,0,"array('i', [24931, 7091])"
1742666900276211335,0,"array('i', [24627, 7557])"
1742666900316218909,0,"array('i', [24321, 8022])"
1742666900366192816,0,"array('i', [24013, 8486])"
1742666900416370113,0,"array('i', [23704, 8948])"
1742666900466153316,0,"array('i', [23393, 9408])"
1742666900516231724,0,"array('i', [23081, 9867])"
1742666900566204668,0,"array('i', [22766, 10324])"
1742666900616231020,0,"array('i', [22451, 10780])"
1742666900666531149,0,"array('i', [22134, 11234])"
1742666900716574149,0,"array('i', [21815, 11687])"
1742666900766123760,0,"array('i', [21495, 12139])"
1742666900816187723,0,"array('i', [21173, 12589])"
1742666900866220723,0,"array('i', [20849, 13036])"
1742666900917032575,0,"array('i', [20525, 13482])"
1742666900966219353,0,"array('i', [20198, 13926])"
1742666901016227242,0,"array('i', [19870, 14370])"
1742666901066201168,0,"array('i', [19541, 14811])"
1742666901116242482,0,"array('i', [19210, 15250])"
1742666901166397779,0,"array('i', [18878, 15689])"
1742666901216190260,0,"array('i', [18544, 16126])"
1742666901266146186,0,"array('i', [18209, 16562])"
1742666901306279075,0,"array('i', [17872, 16996])"
1742666901356169816,0,"array('i', [17534, 17430])"
1742666901406145316,0,"array('i', [17195, 17861])"
1742666901456242556,0,"array('i', [16854, 18290])"
1742666901506173890,0,"array('i', [16511, 18718])"
1742666901556469538,0,"array('i', [16167, 19146])"
1742666901606456408,0,"array('i', [15822, 19573])"
1742666901656325704,0,"array('i', [15475, 19998])"
1742666901706326149,0,"array('i', [15128, 20422])"
1742666901756328964,0,"array('i', [14779, 20844])"
1742666901806226427,0,"array('i', [14430, 21266])"
1742666901856230186,0,"array('i', [14078, 21686])"
1742666901906206778,0,"array('i', [13725, 22105])"
1742666901956247001,0,"array('i', [13371, 22523])"
1742666902006193612,0,"array('i', [13016, 22939])"
1742666902056309500,0,"array('i', [12660, 23354])"
1742666902106222371,0,"array('i', [12302, 23768])"
1742666902156206593,0,"array('i', [11942, 24181])"
1742666902206277834,0,"array('i', [11581, 24593])"
1742666902256206741,0,"array('i', [11220, 25004])"
1742666902296206204,0,"array('i', [10857, 25414])"
1742666902346241611,0,"array('i', [10494, 25822])"
1742666902396211778,0,"array('i', [10129, 26230])"
1742666902446205185,0,"array('i', [9764, 26636])"
1742666902496243963,0,"array('i', [9397, 27043])"
1742666902546207926,0,"array('i', [9030, 27448])"
1742666902596466482,0,"array('i', [8662, 27853])"
1742666902646187074,0,"array('i', [8293, 28257])"
1742666902696133259,0,"array('i', [7923, 28659])"
1742666902746216000,0,"array('i', [7552, 29060])"
1742666902796167981,0,"array('i', [7180, 29460])"
1742666902846227148,0,"array('i', [6806, 29860])"
1742666902896163296,0,"array('i', [6432, 30259])"
1742666902946151518,0,"array('i', [6057, 30657])"
1742666902996232037,0,"array('i', [5681, 31054])"
1742666903046186889,0,"array('i', [5304, 31451])"
1742666903096269815,0,"array('i', [4926, 31847])"
1742666903146202185,0,"array('i', [4548, 32243])"
1742666903196270370,0,"array('i', [4171, 32637])"
1742666903236547648,0,"array('i', [3792, 33030])"
1742666903286177889,0,"array('i', [3413, 33422])"
1742666903336772629,0,"array('i', [3033, 33813])"
1742666903386326148,0,"array('i', [2652, 34203])"
1742666903436267185,0,"array('i', [2272, 34593])"
1742666903486534759,0,"array('i', [1889, 34983])"
1742666903536345907,0,"array('i', [1504, 35373])"
1742666903586176611,0,"array('i', [1120, 35761])"
1742666903636223018,0,"array('i', [737, 36149])"
1742666903686153092,0,"array('i', [353, 36536])"
1742666903736363259,0,"array('i', [65503, 36922])"
1742666903786217111,0,"array('i', [65117, 37308])"
1742666903836393722,0,"array('i', [64730, 37694])"
1742666903886232481,0,"array('i', [64343, 38080])"
1742666903936232499,0,"array('i', [63955, 38466])"
1742666903986376277,0,"array('i', [63568, 38851])"
1742666904036394721,0,"array('i', [63179, 39235])"
1742666904086153740,0,"array('i', [62791, 39619])"
1742666904136251258,0,"array('i', [62402, 40003])"
1742666904186178370,0,"array('i', [62014, 40386])"
1742666904226154962,0,"array('i', [61624, 40768])"
1742666904276411740,0,"array('i', [61235, 41151])"
1742666904326220832,0,"array('i', [60846, 41533])"
1742666904376319888,0,"array('i', [60456, 41914])"
1742666904426221073,0,"array('i', [60065, 42296])"
1742666904476271666,0,"array('i', [59674, 42676])"
1742666904526324258,0,"array('i', [59282, 43056])"
1742666904576210499,0,"array('i', [58891, 43436])"
1742666904626353054,0,"array('i', [58499, 43815])"
1742666904676183943,0,"array('i', [58107, 44195])"
1742666904726138443,0,"array('i', [57714, 44573])"
1742666904776204091,0,"array('i', [57321, 44951])"
1742666904826230832,0,"array('i', [56928, 45329])"
1742666904876216499,0,"array('i', [56534, 45707])"
1742666904926165573,0,"array('i', [56140, 46086])"
1742666904976245814,0,"array('i', [55746, 46463])"
1742666905026229091,0,"array('i', [55352, 46841])"
1742666905079681332,0,"array('i', [54957, 47219])"
1742666905126907369,0,"array('i', [54563, 47596])"
1742666905166357517,0,"array('i', [54171, 47973])"
1742666905216420795,0,"array('i', [53777, 48350])"
1742666905266134906,0,"array('i', [53384, 48727])"
1742666905316457017,0,"array('i', [52989, 49106])"
1742666905366159258,0,"array('i', [52594, 49484])"
1742666905416226795,0,"array('i', [52200, 49860])"
1742666905466183702,0,"array('i', [51806, 50238])"
1742666905516563850,0,"array('i', [51411, 50615])"
1742666905566179628,0,"array('i', [51015, 50993])"
1742666905616138165,0,"array('i', [50621, 51370])"
1742666905666312721,0,"array('i', [50227, 51745])"
1742666905716201146,0,"array('i', [49832, 52122])"
1742666905766817980,0,"array('i', [49437, 52499])"
1742666905816828591,0,"array('i', [49042, 52875])"
1742666905867115943,0,"array('i', [48647, 53251])"
1742666905916138609,0,"array('i', [48252, 53627])"
1742666905966358461,0,"array('i', [47856, 54003])"
1742666906016145220,0,"array('i', [47460, 54381])"
1742666906066043943,0,"array('i', [47064, 54758])"
1742666906116173239,0,"array('i', [46668, 55134])"
1742666906166091294,0,"array('i', [46272, 55510])"
1742666906206085479,0,"array('i', [45875, 55887])"
1742666906256178183,0,"array('i', [45479, 56264])"
1742666906306130646,0,"array('i', [45083, 56639])"
1742666906356077498,0,"array('i', [44687, 57015])"
1742666906406088590,0,"array('i', [44291, 57391])"
1742666906459565239,0,"array('i', [43894, 57767])"
1742666906506618461,0,"array('i', [43497, 58143])"
1742666906556214350,0,"array('i', [43100, 58518])"
1742666906606181350,0,"array('i', [42703, 58893])"
1742666906656215757,0,"array('i', [42304, 59268])"
1742666906706097905,0,"array('i', [41906, 59644])"
1742666906756174368,0,"array('i', [41508, 60019])"
1742666906806313831,0,"array('i', [41109, 60393])"
1742666906856221683,0,"array('i', [40710, 60766])"
1742666906906332201,0,"array('i', [40310, 61139])"
1742666906956191720,0,"array('i', [39911, 61512])"
1742666907006269979,0,"array('i', [39511, 61884])"
1742666907056222553,0,"array('i', [39110, 62255])"
1742666907106403090,0,"array('i', [38709, 62627])"
1742666907156170423,0,"array('i', [38308, 62999])"
1742666907196205923,0,"array('i', [37908, 63368])"
1742666907246183442,0,"array('i', [37510, 63735])"
1742666907296145497,0,"array('i', [37114, 64098])"
1742666907346259849,0,"array('i', [36722, 64457])"
1742666907396291034,0,"array('i', [36349, 64825])"
1742666907446238053,0,"array('i', [36085, 65277])"
1742666907496231979,0,"array('i', [35928, 259])"
1742666907546133090,0,"array('i', [35804, 771])"
1742666907596185756,0,"array('i', [35697, 1268])"
1742666907646218775,0,"array('i', [35604, 1754])"
1742666907696161442,0,"array('i', [35524, 2228])"
1742666907746136608,0,"array('i', [35457, 2689])"
1742666907796612275,0,"array('i', [35402, 3136])"
1742666907846141349,0,"array('i', [35361, 3566])"
1742666907896225627,0,"array('i', [35332, 3981])"
1742666907946134923,0,"array('i', [35306, 4385])"
1742666907996103515,0,"array('i', [35280, 4782])"
1742666908046144738,0,"array('i', [35268, 5172])"
1742666908096091941,0,"array('i', [35290, 5553])"
1742666908146300256,0,"array('i', [35314, 5924])"
1742666908196153293,0,"array('i', [35338, 6284])"
1742666908236126904,0,"array('i', [35362, 6632])"
1742666908286303367,0,"array('i', [35390, 6972])"
1742666908336220274,0,"array('i', [35425, 7303])"
1742666908386176015,0,"array('i', [35468, 7630])"
1742666908436207608,0,"array('i', [35517, 7951])"
1742666908486131052,0,"array('i', [35572, 8266])"
1742666908536382997,0,"array('i', [35635, 8575])"
1742666908586108960,0,"array('i', [35704, 8876])"
1742666908636100534,0,"array('i', [35777, 9171])"
1742666908686164422,0,"array('i', [35856, 9460])"
1742666908736302367,0,"array('i', [35940, 9745])"
1742666908786337904,0,"array('i', [36030, 10025])"
1742666908836192293,0,"array('i', [36124, 10300])"
1742666908886145793,0,"array('i', [36222, 10571])"
1742666908936238996,0,"array('i', [36324, 10838])"
1742666908986156719,0,"array('i', [36429, 11100])"
1742666909036616219,0,"array('i', [36539, 11358])"
1742666909086159385,0,"array('i', [36652, 11613])"
1742666909136120200,0,"array('i', [36769, 11864])"
1742666909186189533,0,"array('i', [36889, 12113])"
1742666909236140792,0,"array('i', [37012, 12358])"
1742666909276109144,0,"array('i', [37139, 12601])"
1742666909326164811,0,"array('i', [37268, 12842])"
1742666909376130107,0,"array('i', [37400, 13079])"
1742666909426327200,0,"array('i', [37534, 13314])"
1742666909476194996,0,"array('i', [37672, 13546])"
1742666909526192607,0,"array('i', [37812, 13775])"
1742666909576179866,0,"array('i', [37954, 14001])"
1742666909626551014,0,"array('i', [38099, 14224])"
1742666909676408311,0,"array('i', [38245, 14446])"
1742666909726163737,0,"array('i', [38392, 14666])"
1742666909776183366,0,"array('i', [38542, 14886])"
1742666909826186440,0,"array('i', [38693, 15105])"
1742666909876188681,0,"array('i', [38846, 15323])"
1742666909926301181,0,"array('i', [39000, 15539])"
1742666909976213699,0,"array('i', [39156, 15753])"
1742666910026260940,0,"array('i', [39313, 15966])"
1742666910076191662,0,"array('i', [39471, 16176])"
1742666910127412218,0,"array('i', [39631, 16386])"
1742666910176215959,0,"array('i', [39792, 16595])"
1742666910226209273,0,"array('i', [39953, 16802])"
1742666910266254755,0,"array('i', [40116, 17008])"
1742666910316152736,0,"array('i', [40280, 17212])"
1742666910366233681,0,"array('i', [40446, 17415])"
1742666910416203403,0,"array('i', [40612, 17616])"
1742666910466298773,0,"array('i', [40780, 17816])"
1742666910516201607,0,"array('i', [40949, 18015])"
1742666910566166625,0,"array('i', [41120, 18214])"
1742666910616245069,0,"array('i', [41292, 18411])"
