timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,status
1742664700592728947,1742664700,554222348,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: odometry/filtered topic status', message='Frequency too low.', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='70'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='70'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='2.946622'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='23.756015'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664700930482627,1742664700,641755228,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: odometry/filtered topic status', message='Frequency too low.', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='73'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='73'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='3.034161'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='24.059367'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664701554315192,1742664701,554205821,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='100'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='100'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='3.946615'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='25.338171'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664701675400590,1742664701,675230719,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='104'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='104'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='4.067637'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='25.567670'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664702554491535,1742664702,554207219,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='130'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='130'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='4.946613'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='26.280608'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664702708263059,1742664702,708167373,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='135'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='135'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='5.100570'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='26.467628'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664703554278358,1742664703,554190876,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='150'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='160'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='4.999954'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='30.000278'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664703741545085,1742664703,741466659,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='154'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='166'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='5.132611'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='30.004222'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664704554306348,1742664704,554199014,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='150'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='190'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='4.999981'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='30.000114'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
1742664704741706021,1742664704,741672261,,"[diagnostic_msgs.msg.DiagnosticStatus(level=b'\x01', name='ekf_filter_node: Filter diagnostic updater', message='Potentially erroneous data or settings detected for a robot_localization state estimation this->', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='odom0_pose_covariance', value='The covariance at position (14), which corresponds to Z variance, was zero. Thiswill be replaced with a small value to maintain filter stability, but should be corrected at the message origin this->')]), diagnostic_msgs.msg.DiagnosticStatus(level=b'\x00', name='ekf_filter_node: odometry/filtered topic status', message='', hardware_id='none', values=[diagnostic_msgs.msg.KeyValue(key='Events in window', value='153'), diagnostic_msgs.msg.KeyValue(key='Events since startup', value='196'), diagnostic_msgs.msg.KeyValue(key='Duration of window (s)', value='5.100179'), diagnostic_msgs.msg.KeyValue(key='Actual frequency (Hz)', value='29.998945'), diagnostic_msgs.msg.KeyValue(key='Minimum acceptable frequency (Hz)', value='25.200000'), diagnostic_msgs.msg.KeyValue(key='Maximum acceptable frequency (Hz)', value='35.200000')])]"
