timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742664699953994382,1742664699,948870727,imu_link,4.1875,31.9375,-24.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664699982236930,1742664699,966854223,imu_link,5.625,31.9375,-24.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664699995381513,1742664699,986737637,imu_link,5.625,31.9375,-24.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700022245610,1742664700,6772163,imu_link,5.25,32.8125,-26.125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700031331989,1742664700,26767855,imu_link,5.25,32.8125,-26.125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700072343563,1742664700,46771936,imu_link,6.1875,32.9375,-24.6875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700077735830,1742664700,74410369,imu_link,6.1875,32.9375,-24.6875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700094682637,1742664700,86737949,imu_link,6.1875,32.9375,-24.6875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700122194866,1742664700,106737308,imu_link,6.125,32.0625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700134522261,1742664700,126825445,imu_link,6.125,32.0625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700154836640,1742664700,146949378,imu_link,6.125,32.0625,-26.9375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700185437033,1742664700,166748977,imu_link,4.875,32.1875,-24.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700198379634,1742664700,191298506,imu_link,4.875,32.1875,-24.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700221381730,1742664700,206717213,imu_link,6.25,33.5625,-26.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700234875390,1742664700,227483557,imu_link,6.25,33.5625,-26.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700251943271,1742664700,246776227,imu_link,6.25,33.5625,-26.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700587378272,1742664700,266790993,imu_link,5.6875,32.0,-24.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700587459161,1742664700,286706092,imu_link,5.6875,32.0,-24.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700587488865,1742664700,306772432,imu_link,6.5625,32.4375,-25.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700587884460,1742664700,326758791,imu_link,6.5625,32.4375,-25.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700588096905,1742664700,346770502,imu_link,5.0625,33.4375,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700588111257,1742664700,368511832,imu_link,5.0625,33.4375,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700588144313,1742664700,386747052,imu_link,5.0625,33.4375,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700591332681,1742664700,406698263,imu_link,5.3125,33.125,-24.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742664700591376977,1742664700,426686788,imu_link,5.3125,33.125,-24.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
