timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742662962073064401,1742662962,56159438,imu_link,5.625,31.0625,-25.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962080050395,1742662962,75477258,imu_link,5.625,31.0625,-25.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962121864382,1742662962,95428936,imu_link,4.125,29.25,-24.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962127327473,1742662962,122873799,imu_link,4.125,29.25,-24.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962142723125,1742662962,135402793,imu_link,4.125,29.25,-24.875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962169923763,1742662962,155386250,imu_link,6.0,30.25,-26.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962179616322,1742662962,175511744,imu_link,6.0,30.25,-26.25,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962220867099,1742662962,195392200,imu_link,7.0625,31.125,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962225901964,1742662962,221853738,imu_link,7.0625,31.125,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962242486201,1742662962,235385946,imu_link,7.0625,31.125,-27.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962270002565,1742662962,255385273,imu_link,5.8125,29.5,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962289779631,1742662962,275300543,imu_link,5.8125,29.5,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962299751266,1742662962,295300889,imu_link,5.8125,29.5,-25.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962331654877,1742662962,315331086,imu_link,5.5625,30.75,-25.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962344638190,1742662962,337476157,imu_link,5.5625,30.75,-25.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962369221340,1742662962,355493686,imu_link,5.0,30.0,-25.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962379784778,1742662962,375342660,imu_link,5.0,30.0,-25.1875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962413999134,1742662962,395449025,imu_link,3.375,29.5,-24.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962419426798,1742662962,415483796,imu_link,3.375,29.5,-24.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962447875653,1742662962,435393326,imu_link,3.375,29.5,-24.8125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962472858918,1742662962,455349616,imu_link,4.125,29.8125,-24.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962479297555,1742662962,475296109,imu_link,4.125,29.8125,-24.625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962516903297,1742662962,495419770,imu_link,4.0625,29.1875,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962520960170,1742662962,518454553,imu_link,4.0625,29.1875,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962547854695,1742662962,535382275,imu_link,4.0625,29.1875,-24.5,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962569334869,1742662962,555308694,imu_link,4.5625,29.3125,-23.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962579423895,1742662962,575392985,imu_link,4.5625,29.3125,-23.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962617276324,1742662962,595379034,imu_link,2.375,29.1875,-23.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962621420272,1742662962,618773376,imu_link,2.375,29.1875,-23.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962647800217,1742662962,635360724,imu_link,2.375,29.1875,-23.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962669163984,1742662962,655327310,imu_link,4.5625,30.1875,-24.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962679629550,1742662962,675552806,imu_link,4.5625,30.1875,-24.75,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742662962716253596,1742662962,695359983,imu_link,3.4375,30.375,-24.5625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
