timestamp,layout.data_offset,data
1742665589324150968,0,"array('i', [0, 0])"
1742665589373248894,0,"array('i', [0, 0])"
1742665589423524875,0,"array('i', [0, 0])"
1742665589473346042,0,"array('i', [0, 0])"
1742665589523135264,0,"array('i', [0, 0])"
1742665589573237283,0,"array('i', [0, 0])"
1742665589623234838,0,"array('i', [0, 0])"
1742665589673197838,0,"array('i', [0, 0])"
1742665589723289672,0,"array('i', [0, 0])"
1742665589763306746,0,"array('i', [0, 0])"
1742665589813141116,0,"array('i', [0, 0])"
1742665589863221320,0,"array('i', [0, 0])"
1742665589913295394,0,"array('i', [0, 0])"
1742665589963677857,0,"array('i', [0, 0])"
1742665590013131301,0,"array('i', [0, 0])"
1742665590063109412,0,"array('i', [0, 0])"
1742665590113188782,0,"array('i', [0, 0])"
1742665590163117560,0,"array('i', [0, 0])"
1742665590213116856,0,"array('i', [0, 0])"
1742665590263168542,0,"array('i', [0, 0])"
1742665590313195949,0,"array('i', [0, 0])"
1742665590363179060,0,"array('i', [0, 0])"
1742665590413331560,0,"array('i', [0, 0])"
1742665590463254116,0,"array('i', [0, 0])"
1742665590513988523,0,"array('i', [0, 0])"
1742665590563135801,0,"array('i', [0, 0])"
1742665590603464338,0,"array('i', [0, 0])"
1742665590653152449,0,"array('i', [0, 0])"
1742665590703169856,0,"array('i', [0, 0])"
1742665590753204967,0,"array('i', [0, 0])"
1742665590803279338,0,"array('i', [0, 0])"
1742665590853636986,0,"array('i', [0, 0])"
1742665590903191782,0,"array('i', [0, 0])"
1742665590953137523,0,"array('i', [0, 0])"
1742665591003172671,0,"array('i', [0, 0])"
1742665591053198282,0,"array('i', [0, 0])"
1742665591103275023,0,"array('i', [0, 0])"
1742665591153348467,0,"array('i', [0, 0])"
1742665591203487671,0,"array('i', [0, 0])"
1742665591253554226,0,"array('i', [0, 0])"
1742665591303211856,0,"array('i', [0, 0])"
1742665591353477930,0,"array('i', [0, 0])"
1742665591403478319,0,"array('i', [0, 0])"
1742665591453607430,0,"array('i', [0, 0])"
1742665591493242948,0,"array('i', [0, 0])"
1742665591543129633,0,"array('i', [0, 0])"
1742665591593396819,0,"array('i', [0, 0])"
1742665591643239726,0,"array('i', [0, 0])"
1742665591693200707,0,"array('i', [0, 0])"
1742665591743199744,0,"array('i', [0, 0])"
1742665591793192430,0,"array('i', [0, 0])"
1742665591843133226,0,"array('i', [0, 0])"
1742665591893182633,0,"array('i', [0, 0])"
1742665591943191152,0,"array('i', [0, 0])"
1742665591993350170,0,"array('i', [0, 0])"
1742665592043158892,0,"array('i', [0, 0])"
1742665592093082670,0,"array('i', [0, 0])"
1742665592143169911,0,"array('i', [0, 0])"
1742665592193088689,0,"array('i', [0, 0])"
1742665592243180948,0,"array('i', [0, 0])"
1742665592293130892,0,"array('i', [0, 0])"
1742665592343129466,0,"array('i', [0, 0])"
1742665592383099374,0,"array('i', [0, 0])"
1742665592433156633,0,"array('i', [0, 0])"
1742665592483135577,0,"array('i', [0, 0])"
1742665592533156837,0,"array('i', [0, 0])"
1742665592583183781,0,"array('i', [65433, 102])"
1742665592633149133,0,"array('i', [65072, 462])"
1742665592683158911,0,"array('i', [64694, 833])"
1742665592733216299,0,"array('i', [64318, 1199])"
1742665592783392762,0,"array('i', [63942, 1567])"
1742665592833236096,0,"array('i', [63565, 1943])"
1742665592883096151,0,"array('i', [63186, 2324])"
1742665592933196910,0,"array('i', [62804, 2707])"
1742665592983175947,0,"array('i', [62423, 3091])"
1742665593033337077,0,"array('i', [62041, 3476])"
1742665593083144929,0,"array('i', [61660, 3859])"
1742665593133148392,0,"array('i', [61279, 4242])"
1742665593183167947,0,"array('i', [60900, 4625])"
1742665593233125040,0,"array('i', [60523, 5006])"
1742665593283314688,0,"array('i', [60147, 5386])"
1742665593323188929,0,"array('i', [59769, 5766])"
1742665593373142151,0,"array('i', [59389, 6147])"
1742665593423293855,0,"array('i', [59006, 6531])"
1742665593473138299,0,"array('i', [58624, 6914])"
1742665593523129466,0,"array('i', [58242, 7296])"
1742665593573420391,0,"array('i', [57860, 7678])"
1742665593623181873,0,"array('i', [57480, 8057])"
1742665593673129521,0,"array('i', [57099, 8437])"
1742665593723267428,0,"array('i', [56717, 8818])"
1742665593773220336,0,"array('i', [56335, 9200])"
1742665593823218577,0,"array('i', [55952, 9582])"
1742665593873178928,0,"array('i', [55570, 9963])"
1742665593923245576,0,"array('i', [55187, 10345])"
1742665593973192910,0,"array('i', [54805, 10726])"
1742665594023280613,0,"array('i', [54423, 11107])"
1742665594073329002,0,"array('i', [54040, 11487])"
1742665594123313021,0,"array('i', [53658, 11868])"
1742665594173362447,0,"array('i', [53276, 12249])"
1742665594213279021,0,"array('i', [52893, 12631])"
1742665594263318817,0,"array('i', [52511, 13013])"
1742665594313705613,0,"array('i', [52128, 13394])"
1742665594363824150,0,"array('i', [51745, 13776])"
1742665594413189947,0,"array('i', [51363, 14158])"
1742665594463355076,0,"array('i', [50980, 14540])"
1742665594513223280,0,"array('i', [50598, 14922])"
1742665594563314502,0,"array('i', [50215, 15303])"
1742665594613244169,0,"array('i', [49832, 15685])"
1742665594663281428,0,"array('i', [49450, 16066])"
1742665594713239298,0,"array('i', [49068, 16447])"
1742665594763192928,0,"array('i', [48686, 16828])"
1742665594813143057,0,"array('i', [48304, 17209])"
1742665594863269039,0,"array('i', [47921, 17591])"
1742665594913176372,0,"array('i', [47539, 17972])"
1742665594963275983,0,"array('i', [47157, 18354])"
1742665595013187150,0,"array('i', [46774, 18735])"
1742665595063179742,0,"array('i', [46391, 19117])"
1742665595103450224,0,"array('i', [46007, 19499])"
1742665595153249353,0,"array('i', [45624, 19881])"
1742665595203164168,0,"array('i', [45242, 20262])"
1742665595253228409,0,"array('i', [44859, 20643])"
1742665595303161668,0,"array('i', [44476, 21024])"
1742665595353555705,0,"array('i', [44093, 21406])"
1742665595403296520,0,"array('i', [43710, 21787])"
1742665595453269020,0,"array('i', [43327, 22168])"
1742665595503194927,0,"array('i', [42944, 22550])"
1742665595553273964,0,"array('i', [42561, 22931])"
1742665595603572853,0,"array('i', [42178, 23312])"
1742665595653281464,0,"array('i', [41795, 23694])"
1742665595703273668,0,"array('i', [41412, 24076])"
1742665595753271038,0,"array('i', [41030, 24458])"
1742665595803167131,0,"array('i', [40649, 24839])"
1742665595854019149,0,"array('i', [40268, 25220])"
1742665595903788668,0,"array('i', [39886, 25601])"
1742665595943267649,0,"array('i', [39503, 25983])"
1742665595993815205,0,"array('i', [39120, 26365])"
1742665596043231334,0,"array('i', [38737, 26747])"
1742665596093174520,0,"array('i', [38354, 27129])"
1742665596143273020,0,"array('i', [37971, 27510])"
1742665596193261871,0,"array('i', [37588, 27891])"
1742665596243226205,0,"array('i', [37205, 28273])"
1742665596293250057,0,"array('i', [36822, 28655])"
1742665596343172464,0,"array('i', [36439, 29036])"
1742665596393827538,0,"array('i', [36057, 29418])"
1742665596443223556,0,"array('i', [35674, 29800])"
1742665596493227760,0,"array('i', [35292, 30181])"
1742665596543207649,0,"array('i', [34910, 30562])"
1742665596593145908,0,"array('i', [34527, 30942])"
1742665596643345371,0,"array('i', [34144, 31324])"
1742665596693164019,0,"array('i', [33762, 31706])"
1742665596743198445,0,"array('i', [33379, 32088])"
1742665596793188964,0,"array('i', [32997, 32469])"
1742665596833198093,0,"array('i', [32614, 32851])"
1742665596883226760,0,"array('i', [32232, 33233])"
1742665596933308778,0,"array('i', [31850, 33614])"
1742665596983163667,0,"array('i', [31468, 33995])"
1742665597033247001,0,"array('i', [31086, 34376])"
1742665597083304482,0,"array('i', [30703, 34759])"
1742665597133233260,0,"array('i', [30321, 35141])"
1742665597183731408,0,"array('i', [29940, 35523])"
1742665597233656667,0,"array('i', [29558, 35904])"
1742665597283337834,0,"array('i', [29176, 36287])"
1742665597333267278,0,"array('i', [28793, 36670])"
1742665597383157315,0,"array('i', [28412, 37053])"
1742665597433238130,0,"array('i', [28031, 37435])"
1742665597483316334,0,"array('i', [27650, 37816])"
1742665597533222000,0,"array('i', [27268, 38199])"
1742665597583222296,0,"array('i', [26886, 38582])"
1742665597633146759,0,"array('i', [26504, 38965])"
1742665597673564741,0,"array('i', [26122, 39347])"
1742665597723358408,0,"array('i', [25740, 39729])"
1742665597773194352,0,"array('i', [25358, 40112])"
1742665597823271500,0,"array('i', [24976, 40495])"
1742665597873149759,0,"array('i', [24594, 40878])"
1742665597923453796,0,"array('i', [24211, 41260])"
1742665597973183352,0,"array('i', [23828, 41643])"
1742665598023378018,0,"array('i', [23446, 42025])"
1742665598073231907,0,"array('i', [23064, 42408])"
1742665598123200037,0,"array('i', [22682, 42791])"
1742665598173413796,0,"array('i', [22299, 43173])"
1742665598223216778,0,"array('i', [21916, 43556])"
1742665598273227000,0,"array('i', [21534, 43940])"
1742665598323307759,0,"array('i', [21152, 44323])"
1742665598373181944,0,"array('i', [20770, 44706])"
1742665598423496963,0,"array('i', [20388, 45089])"
1742665598473196981,0,"array('i', [20005, 45473])"
1742665598523157500,0,"array('i', [19623, 45856])"
1742665598563283000,0,"array('i', [19241, 46239])"
1742665598613237740,0,"array('i', [18858, 46623])"
1742665598663308814,0,"array('i', [18476, 47007])"
1742665598713315314,0,"array('i', [18093, 47391])"
1742665598763184148,0,"array('i', [17711, 47775])"
1742665598813258351,0,"array('i', [17329, 48158])"
1742665598863290851,0,"array('i', [16947, 48542])"
1742665598913311370,0,"array('i', [16564, 48925])"
1742665598963473073,0,"array('i', [16182, 49309])"
1742665599013253222,0,"array('i', [15800, 49693])"
1742665599063316166,0,"array('i', [15417, 50076])"
1742665599113272259,0,"array('i', [15035, 50460])"
1742665599163216129,0,"array('i', [14653, 50844])"
1742665599213245740,0,"array('i', [14271, 51227])"
1742665599263161666,0,"array('i', [13890, 51610])"
1742665599313183314,0,"array('i', [13508, 51994])"
1742665599363220110,0,"array('i', [13126, 52378])"
1742665599413146240,0,"array('i', [12744, 52762])"
1742665599453239592,0,"array('i', [12362, 53147])"
1742665599503236981,0,"array('i', [11980, 53531])"
1742665599553222351,0,"array('i', [11597, 53915])"
