timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance
1742656841751772489,1742656841,732119117,imu_link,6.4375,32.875,-25.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841760143487,1742656841,755098562,imu_link,6.4375,32.875,-25.375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841794097012,1742656841,772097130,imu_link,6.4375,31.1875,-24.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841799587432,1742656841,795590292,imu_link,6.4375,31.1875,-24.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841827242380,1742656841,812095254,imu_link,6.4375,31.1875,-24.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841849594018,1742656841,832062178,imu_link,7.0,33.3125,-26.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841856500366,1742656841,851974157,imu_link,7.0,33.3125,-26.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841892066725,1742656841,872065524,imu_link,6.875,32.9375,-25.4375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841898132471,1742656841,893572838,imu_link,6.875,32.9375,-25.4375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841923464927,1742656841,911998890,imu_link,6.875,32.9375,-25.4375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841947888152,1742656841,932047775,imu_link,7.6875,32.1875,-26.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841956687498,1742656841,951994143,imu_link,7.6875,32.1875,-26.3125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841993789988,1742656841,972104898,imu_link,6.5,32.0625,-26.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
1742656841999550034,1742656841,995277341,imu_link,6.5,32.0625,-26.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
